=== A2: 8 frames/span, 5 spans/call (40 images/call - same as baseline) ===
loaded Qwen/Qwen3-VL-8B-Instruct on cuda:0
  pp_shampoo     spans   0-  4 ->  5 captions  (input_tokens=8817, output_tokens=293, n_images=40)
  pp_shampoo     spans   5-  9 ->  5 captions  (input_tokens=8898, output_tokens=291, n_images=40)
  pp_shampoo     spans  10- 14 ->  5 captions  (input_tokens=8900, output_tokens=288, n_images=40)
  pp_shampoo     spans  15- 17 ->  3 captions  (input_tokens=5704, output_tokens=173, n_images=24)
  pp_noodles     spans   0-  4 ->  5 captions  (input_tokens=8816, output_tokens=284, n_images=40)
  pp_noodles     spans   5-  9 ->  5 captions  (input_tokens=8905, output_tokens=290, n_images=40)
  pp_noodles     spans  10- 14 ->  5 captions  (input_tokens=8912, output_tokens=287, n_images=40)
  pp_noodles     spans  15- 19 ->  5 captions  (input_tokens=8889, output_tokens=292, n_images=40)
  pp_noodles     spans  20- 24 ->  5 captions  (input_tokens=8893, output_tokens=276, n_images=40)
  pp_noodles     spans  25- 29 ->  5 captions  (input_tokens=8894, output_tokens=276, n_images=40)
  pp_noodles     spans  30- 31 ->  2 captions  (input_tokens=4095, output_tokens=107, n_images=16)
  np_storagebox  spans   0-  4 ->  5 captions  (input_tokens=8780, output_tokens=274, n_images=40)
  np_storagebox  spans   5-  9 ->  5 captions  (input_tokens=8891, output_tokens=286, n_images=40)
  np_storagebox  spans  10- 14 ->  5 captions  (input_tokens=8897, output_tokens=286, n_images=40)
  np_storagebox  spans  15- 19 ->  5 captions  (input_tokens=8890, output_tokens=285, n_images=40)
  np_storagebox  spans  20- 24 ->  5 captions  (input_tokens=8884, output_tokens=281, n_images=40)
  np_storagebox  spans  25- 29 ->  5 captions  (input_tokens=8891, output_tokens=285, n_images=40)
  np_storagebox  spans  30- 30 ->  1 captions  (input_tokens=2486, output_tokens=51, n_images=8)
  np_tissue      spans   0-  4 ->  5 captions  (input_tokens=8785, output_tokens=274, n_images=40)
  np_tissue      spans   5-  9 ->  5 captions  (input_tokens=8870, output_tokens=277, n_images=40)
  np_tissue      spans  10- 14 ->  5 captions  (input_tokens=8877, output_tokens=278, n_images=40)
  np_tissue      spans  15- 19 ->  5 captions  (input_tokens=8875, output_tokens=280, n_images=40)
  np_tissue      spans  20- 22 ->  3 captions  (input_tokens=5685, output_tokens=165, n_images=24)

104 captions from 104 spans in 183s
  throughput: 0.57 spans/s  |  1.1x realtime (210s video in 183s)
  mean tokens/call: in 8110  out 256
  wrote caps_f8b5.jsonl
=== B2: 4 frames/span, 1 span/call (4 images/call) ===
loaded Qwen/Qwen3-VL-8B-Instruct on cuda:0
  pp_shampoo     spans   0-  0 ->  1 captions  (input_tokens=1629, output_tokens=54, n_images=4)
  pp_shampoo     spans   1-  1 ->  0 captions  (input_tokens=1670, output_tokens=59, n_images=4)
  pp_shampoo     spans   2-  2 ->  1 captions  (input_tokens=1665, output_tokens=54, n_images=4)
  pp_shampoo     spans   3-  3 ->  0 captions  (input_tokens=1681, output_tokens=15, n_images=4)
  pp_shampoo     spans   4-  4 ->  1 captions  (input_tokens=1682, output_tokens=55, n_images=4)
  pp_shampoo     spans   5-  5 ->  1 captions  (input_tokens=1691, output_tokens=56, n_images=4)
  pp_shampoo     spans   6-  6 ->  1 captions  (input_tokens=1707, output_tokens=54, n_images=4)
  pp_shampoo     spans   7-  7 ->  0 captions  (input_tokens=1712, output_tokens=17, n_images=4)
  pp_shampoo     spans   8-  8 ->  0 captions  (input_tokens=1711, output_tokens=17, n_images=4)
  pp_shampoo     spans   9-  9 ->  1 captions  (input_tokens=1706, output_tokens=56, n_images=4)
  pp_shampoo     spans  10- 10 ->  1 captions  (input_tokens=1707, output_tokens=57, n_images=4)
  pp_shampoo     spans  11- 11 ->  1 captions  (input_tokens=1708, output_tokens=54, n_images=4)
